,recipes,ingredients,calories
0,Turmeric-Tahini Dressing,"3 tablespoons fresh lemon juice, 2 tablespoons olive oil, ½ teaspoon ground turmeric, ¼ teaspoon cayenne pepper, Kosher salt and freshly ground black pepper",127.0
1,Lemon-Anchovy Vinaigrette,"2 lemons, 4 anchovy fillets packed in oil, drained, finely chopped, ½ cup olive oil, ¼ teaspoon crushed red pepper flakes, Kosher salt and freshly ground black pepper",256.0
2,Green Sauce No.4,"3 tablespoons white miso, 3 tablespoons fresh lemon juice, 2 tablespoons fresh lime juice, 2 tablespoons olive oil, 4 teaspoons tahini, 1 tablespoon apple cider vinegar, 1 tablespoon honey, preferably raw, 2 cups cilantro leaves with tender stems, ⅓ cup sliced chives, 1½ teaspoons grated peeled ginger, 1 teaspoon ground coriander, Kosher salt, freshly ground pepper",140.75
3,Creamy Lemon-Mustard Vinaigrette,"1 small shallot, chopped, ¾ cup olive oil, ¼ cup fresh lemon juice, 2 teaspoons Dijon mustard, 1 teaspoon honey, Kosher salt and freshly ground black pepper",250.5
4,Gribiche (Hard-Boiled Egg) Dressing,"6 cornichons, chopped, ⅓ cup olive oil, 2 tablespoons white wine vinegar, 1 tablespoon chopped drained capers, 1 tablespoon whole grain mustard, Kosher salt, freshly ground pepper, 3 Hard-Boiled Eggs, coarsely chopped, 2 tablespoons chopped herbs (such as tarragon and parsley)",215.75
5,Peanut Dressing,"½ cup smooth peanut butter, 2 tablespoons unseasoned rice vinegar, 1 tablespoon sugar, 1 teaspoon reduced-sodium soy sauce, Kosher salt and freshly ground black pepper",207.25
6,Easy Homemade Caesar Dressing,"3 oil-packed anchovy fillets, chopped, 1 large garlic clove, chopped, ¾ teaspoon (or more) kosher salt, 1 large egg yolk, 2 tablespoons fresh lemon juice, ¾ teaspoon Dijon mustard, ¼ cup plus 2 tablespoons vegetable oil, 3 tablespoons Parmesan, finely grated",251.25
7,Soy-Seasame Dressing,"4 scallions, chopped, ¼ cup toasted sesame oil, ⅓ cup unseasoned rice vinegar, 2 tablespoons soy sauce, 1 tablespoon finely grated peeled ginger, 1 tablespoon fresh lime juice, 1 tablespoon tahini, Kosher salt, freshly ground pepper",157.5
8,Grilled Green Salad with Coffee Vinaigrette,"4 spring onions or 8 scallions, white parts only, spring onions halved lengthwise, quartered if large, 4 tomatillos, husks removed, rinsed, quartered, 1 large or 2 small nopales (cactus paddles), spikes removed, 4 garlic cloves, finely chopped, 4 ounces queso fresco, ⅔ cup olive oil, divided, Kosher salt and freshly ground black pepper, 3 tablespoons Sherry vinegar or red wine vinegar, 1 teaspoon honey, 1 teaspoon instant espresso, Vegetable oil (for grill), 3 cups torn frisée, 1 cup trimmed watercress, ½ English hothouse cucumber, halved lengthwise, seeds removed, thinly sliced, 1 cup fresh cilantro and parsley leaves with tender stems",238.125
9,Buttermilk Ranch Dressing,"¾ cup whole-milk plain Greek yogurt, ⅔ cup buttermilk, 3 tablespoons mayonnaise, 1 tablespoon finely chopped chives, 1 teaspoon fresh lemon juice, 1 garlic clove, finely grated, ¼ teaspoon dried oregano, ¼ teaspoon freshly ground black pepper, ¼ teaspoon mustard powder, ¼ teaspoon onion powder, Kosher salt",142.25
10,Herby Lime Dressing,"1 chopped serrano chile or jalapeño (seeds removed; optional), ½ cup (packed) arugula, ½ cup (packed) fresh mint leaves, ½ cup vegetable oil, ¼ cup olive oil, ½ teaspoon finely grated lime zest, ¼ cup fresh lime juice, ½ teaspoon sugar, Kosher salt and freshly ground black pepper",252.5
11,Sesame-Miso Vinaigette,"1 red Fresno chile, with seeds, finely chopped, ¼ cup vegetable oil, 2 tablespoons fresh lime juice, 2 tablespoons white miso, 1 tablespoon reduced-sodium soy sauce, 1 tablespoon unseasoned rice vinegar, 1 teaspoon toasted sesame oil, 1 teaspoon toasted sesame seeds, ½ teaspoon grated peeled ginger",164.0
12,Charred Corn Husk Oil Dressing,"1 cup vegetable oil, 5 oz. firm tofu, drained, cut into pieces, 3 Tbsp. fresh lemon juice, 2 Tbsp. apple cider vinegar, 1 Tbsp. honey, 1 ear of corn, in husk, Kosher salt and freshly ground black pepper",298.875
13,Canal House Green Goddess Dressing,"½ bunch watercress, tough stems removed, coarsely chopped (about 2 cups), 4 anchovy fillets packed in oil, drained, ½ cup mayonnaise, 2 tablespoons sour cream, ½ cup (lightly packed) fresh flat-leaf parsley leaves, 2 tablespoons chopped fresh chives, 2 tablespoons chopped fresh tarragon, 1 tablespoon white wine vinegar, Kosher salt and freshly ground black pepper",228.5
14,Miso-Turmeric Dressing,"⅓ cup unseasoned rice vinegar, ¼ cup mirin, ¼ cup vegetable oil, 2 tablespoons finely grated carrot, 2 tablespoons white miso, 1 tablespoon finely grated peeled ginger, 2 teaspoons finely grated peeled turmeric or ½ teaspoon ground turmeric, 1 teaspoon toasted sesame oil",180.75
15,Simplest Asian Dressing,"½ small garlic clove, finely grated, 1 tablespoon reduced-sodium soy sauce, 2 teaspoons unseasoned rice vinegar, ½ cup olive oil, ½ teaspoon toasted sesame oil, Kosher salt and freshly ground black pepper",246.75
16,Fresh Chive Vinaigrette,"1/2 small garlic clove, finely chopped, Kosher salt, 2 teaspoons white wine vinegar or fresh lemon juice, 2 tablespoons extra-virgin olive oil, 1 tablespoon chopped fresh chives, Freshly ground black pepper, 8 cups salad greens and fresh herb leaves and tender stems",116.25
17,Creamy Herb Dressing,"1 large egg yolk, 1 garlic clove, finely chopped, 2 tablespoons Sherry vinegar, ½ cup olive oil, ½ cup (packed) fresh dill leaves, ½ cup (packed) fennel fronds, Kosher salt, freshly ground pepper",258.5
18,Citrus Vinaigrette,"1 small shallot, finely chopped, ¾ cup olive oil, ¼ cup Champagne vinegar or white wine vinegar, 3 tablespoons fresh lemon juice, 2 tablespoons fresh orange juice, ¼ teaspoon finely grated lemon zest, Kosher salt and freshly ground black pepper",249.5
19,Cashew Caesar Dressing,"4 oil-packed anchovy fillets, ¼ cup raw cashews, 3 tablespoons fresh lemon juice, 1 tablespoon Dijon mustard, 2 teaspoons Worcestershire sauce, 1 teaspoon garlic powder, ½ cup olive oil, Kosher salt",203.16666666666663
20,Buttermilk Green Goddess Dressing,"1/2 cup mayonnaise, 1/3 cup buttermilk, 1/4 cup chopped fresh chives, 1/4 cup coarsely chopped flat-leaf parsley, 1 tablespoon chopped fresh tarragon, 1 tablespoon fresh lemon juice, 2 anchovy fillets packed in oil (drained, chopped), 1 chopped garlic clove, Kosher salt and freshly ground black pepper",218.0
21,"Miso, Carrot, and Sesame Dressing","1/2 cup white miso, 6 tablespoons vegetable oil, 1/4 cup (packed) finely grated peeled carrot, 2 tablespoons finely grated peeled ginger, 2 tablespoons unseasoned rice vinegar, 4 teaspoons toasted sesame seeds, 2 teaspoons toasted sesame oil, 2 teaspoons honey",205.66666666666663
22,Creamy Dijon Vinaigrette,"1/4 cup good-quality red or white wine vinegar, 1 Tbsp. Dijon mustard, 1 Tbsp. honey, 1/2 tsp. kosher salt, 1/2 garlic clove running, 1/2 cup vegetable oil, 2 Tbsp. extra-virgin olive oil, salt freshly ground black pepper",219.0
